state,year,date,age,ethnicity,population
Johor,2017,2017-01-01,0-4,Bumi Malay,191.2
Johor,2017,2017-01-01,0-4,Bumi Other,8
Johor,2017,2017-01-01,0-4,Chinese,69.1
Johor,2017,2017-01-01,0-4,Indian,16.5
Johor,2017,2017-01-01,0-4,Other Citizen,3.6
Johor,2017,2017-01-01,0-4,Other Non-Citizen,8.5
Johor,2017,2017-01-01,15-19,Bumi Malay,184.7
Johor,2017,2017-01-01,15-19,Bumi Other,4.1
Johor,2017,2017-01-01,15-19,Chinese,95.5
Johor,2017,2017-01-01,15-19,Indian,21.5
Johor,2017,2017-01-01,15-19,Other Citizen,2.3
Johor,2017,2017-01-01,15-19,Other Non-Citizen,17.5
Johor,2017,2017-01-01,20-24,Bumi Malay,167
Johor,2017,2017-01-01,20-24,Bumi Other,3.6
Johor,2017,2017-01-01,20-24,Chinese,91.2
Johor,2017,2017-01-01,20-24,Indian,20
Johor,2017,2017-01-01,20-24,Other Citizen,1.3
Johor,2017,2017-01-01,20-24,Other Non-Citizen,70.8
Johor,2017,2017-01-01,25-29,Bumi Malay,162.6
Johor,2017,2017-01-01,25-29,Bumi Other,4.7
Johor,2017,2017-01-01,25-29,Chinese,85.2
Johor,2017,2017-01-01,25-29,Indian,19.1
Johor,2017,2017-01-01,25-29,Other Citizen,1.1
Johor,2017,2017-01-01,25-29,Other Non-Citizen,70.2
Johor,2017,2017-01-01,30-34,Bumi Malay,161.4
Johor,2017,2017-01-01,30-34,Bumi Other,7.5
Johor,2017,2017-01-01,30-34,Chinese,83.7
Johor,2017,2017-01-01,30-34,Indian,20.5
Johor,2017,2017-01-01,30-34,Other Citizen,0.7
Johor,2017,2017-01-01,30-34,Other Non-Citizen,50
Johor,2017,2017-01-01,35-39,Bumi Malay,134.8
Johor,2017,2017-01-01,35-39,Bumi Other,4.8
Johor,2017,2017-01-01,35-39,Chinese,80.6
Johor,2017,2017-01-01,35-39,Indian,21.2
Johor,2017,2017-01-01,35-39,Other Citizen,0.7
Johor,2017,2017-01-01,35-39,Other Non-Citizen,34.5
Johor,2017,2017-01-01,40-44,Bumi Malay,110.7
Johor,2017,2017-01-01,40-44,Bumi Other,3.5
Johor,2017,2017-01-01,40-44,Chinese,77.1
